NPI,Name,Telephone,City,State2,Zip5,address,match,lat,lon
1548468614,DIMENSION PROSTHETICS & ORTHOTICS,5103243400,UNION CITY,CA,94587,"33374 DOWE AVE, UNION CITY, CA, 94587",True,37.60105923300006,-122.04352153999997
1952507303,"SOUND BALANCE AUDIOLOGY, INC",7607217417,OCEANSIDE,CA,92054,"2420 VISTA WAY, OCEANSIDE, CA, 92054",True,33.18324116100007,-117.33439986799999
1609934660,COLLIER REHABILITATION SYSTEMS,9259431119,PLEASANT HILL,CA,94523,"3161 PUTNAM BLVD, PLEASANT HILL, CA, 94523",True,37.933073798000066,-122.073511441
1518006741,"NEW DAY'S DAWN, INC.",6195964042,SANTEE,CA,92071,"10159 MISSION GORGE RD, SANTEE, CA, 92071",True,32.83852728200003,-116.97627558599999
1902863202,SUPER CARE INC,6268542283,CITY OF INDUSTRY,CA,91744,"16017 VALLEY BLVD, CITY OF INDUSTRY, CA, 91744",False,,
1386652774,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",5306764856,CAMERON PARK,CA,95682,"3460 ROBIN LN, CAMERON PARK, CA, 95682",True,38.65601919000005,-120.96822059699997
1124198114,"CHANNEL ISLANDS PROSTHETICS,INC",8054865531,OXNARD,CA,93030,"520 W 5TH ST, OXNARD, CA, 93030",True,34.19769815400008,-119.18267828499995
1710050307,"LIFE-CARE HOME HEALTH & MEDICAL SUPPLIES, INC",3104790094,WEST LOS ANGELES,CA,90025,"11843 WILSHIRE BLVD, WEST LOS ANGELES, CA, 90025",True,34.04725617500003,-118.46358946699996
1639237233,HANGER PROSTHETICS & ORTHOTICS WEST INC,5308771805,PARADISE,CA,95969,"7056 A SKYWAY, PARADISE, CA, 95969",True,39.76507603600004,-121.61804114499995
1477742369,BOUTIQUE DE LINGERIE,8316350722,HOLLISTER,CA,95023,"650 SAN BENITO ST, HOLLISTER, CA, 95023",True,36.849729541000045,-121.40220856599996
1396773958,YOUNG'S ORTHOPEDICS. INC,9094740500,SAN BERNARDINO,CA,92405,"2299 N ARROWHEAD AVE, SAN BERNARDINO, CA, 92405",True,34.136888347000024,-117.28967222099999
1477732865,HAIR DESIGN CENTER,3238564247,HOLLYWOOD,CA,90028,"1320 N HIGHLAND AVE, HOLLYWOOD, CA, 90028",True,34.09483555300005,-118.33861666499996
1659551703,"ALTHEA'S, INC.",8056433537,VENTURA,CA,93003,"2320 E MAIN ST, VENTURA, CA, 93003",True,34.27634002000008,-119.26495509299997
1518147289,"PRECISION MEDICAL, INC.",6198231534,SAN DIEGO,CA,92115,"4424 44TH ST, SAN DIEGO, CA, 92115",True,32.757668559000024,-117.10019304899998
1598946410,DIRECT THERAPY,9096248244,CLAREMONT,CA,91711,"689 W FOOTHILL BLVD, CLAREMONT, CA, 91711",True,34.107203404000074,-117.70530544899998
1073794897,SAVAKOR INC.,3137644976,COMPTON,CA,90220,"637 W COMPTON BLVD, COMPTON, CA, 90220",True,33.895921884000074,-118.23482817299998
1730212036,WELCH'S SHOE REPAIR,9516582383,HEMET,CA,92544,"41819 E FLORIDA AVE, HEMET, CA, 92544",True,33.747736159000056,-116.93188194699997
1659553907,PVO HELTHCARE INC,9096297615,POMONA,CA,91767,"367 ERVILLA ST, POMONA, CA, 91767",True,34.077838204000045,-117.74721541799994
1457533531,"COASTAL ORTHOTIC AND PROSTHETIC SERVICES, INC",7074453111,EUREKA,CA,95501,"2365 HARRISON AVE, EUREKA, CA, 95501",True,40.78628557300004,-124.13960237399999
1063695633,ITALY SHOES AND BOUTIQUE,5628604634,CERRITOS,CA,90703,"11815 SOUTH ST, CERRITOS, CA, 90703",True,33.858465755000054,-118.08149464499996
1346423639,"STEVEN R. YOUNG, OCULARIST, INC.",5108362123,OAKLAND,CA,94609,"411 30TH ST, OAKLAND, CA, 94609",True,37.81905962900004,-122.26494382099997
1699821058,CENTER FOR INDEPEND REHAB,5308229400,YUBA CITY,CA,95991,"1134 PLUMAS STREET, YUBA CITY, CA, 95991",True,39.14586644900004,-121.61762591399997
1730362427,OPTION ONE PATIENT CARE,8185312731,GLENDALE,CA,91202,"1207 VALLEY VIEW RD, GLENDALE, CA, 91202",True,34.16398765300005,-118.26012069999996
1952346298,"TERRAPIN TECHNOLOGIES, INC",3102123067,TORRANCE,CA,90501,"1508 CABRILLO AVE, TORRANCE, CA, 90501",True,33.83369115200003,-118.31431052499994
1639354004,"PACIFIC FOOT & ANKLE SPECIALISTS, INC.",7145420656,SANTA ANA,CA,92701,"1125 E 17TH ST, SANTA ANA, CA, 92701",True,33.76004482800005,-117.85519424299997
1154352391,"BAKERSFIELD PROSTHETICS & ORTHOTICS CENTER, INC.",6612812127,BAKERSFIELD,CA,93301,"2023 TRUXTUN AVE, BAKERSFIELD, CA, 93301",True,35.37335643200004,-119.02500750399997
1730364878,"EMPICARE, INC.",7072243674,NAPA,CA,94558,"3434 VILLA LN, NAPA, CA, 94558",True,38.32528432100003,-122.29395256499998
1689856833,TIMOTHY D. BULGARELLI,6612548461,SANTA CLARITA,CA,91321,"24811 SAN FERNANDO RD, SANTA CLARITA, CA, 91321",False,,
1578566816,SUNNY HILLS ORTHOPEDIC SERVICES INC.,7147384769,FULLERTON,CA,92832,"332 E COMMONWEALTH AVE, FULLERTON, CA, 92832",True,33.87036795200004,-117.91907123799996
1649456187,"VENTURA PROSTHETICS& ORTHOTICS, INC.",7143573940,ORANGE,CA,92865,"2324 N BATAVIA ST, ORANGE, CA, 92865",True,33.82739129200007,-117.86199735699995
1447389291,"NOSE BRACE, INC.",4082494047,SAN JOSE,CA,95128,"650 S WINCHESTER BLVD, SAN JOSE, CA, 95128",True,37.31533210200007,-121.95009416099998
1043353972,MIKE T MARTINEZ,9164881478,SACRAMENTO,CA,95825,"2222 WATT AVE, SACRAMENTO, CA, 95825",True,38.60573200300007,-121.38296634199997
1346426954,LAURENCE OF OAKLAND,9258272062,CONCORD,CA,94520,"2190 MERIDIAN PARK BLVD, CONCORD, CA, 94520",True,37.977437406000035,-122.05760118899997
1568509669,"DYNAMICS ORTHOTICS & PROSTHETICS, INC.",2133839212,LOS ANGELES,CA,90006,"1830 W OLYMPIC BLVD, LOS ANGELES, CA, 90006",True,34.05039228100003,-118.27690855699996
1417126780,WNC MEDICAL SUPPLY LLC,5107965555,FREMONT,CA,94538,"3705 BEACON AVE, FREMONT, CA, 94538",False,,
1356451462,MEACHAM ENT INC,5594384488,FRESNO,CA,93711,"323 W CROMWELL, FRESNO, CA, 93711",True,36.84755755000003,-119.79661487199996
1366611212,UNIVERSAL SUMMIT GROUP INC.,4083358744,BAKERSFIELD,CA,93313,"5880 DISTRICT BLVD, BAKERSFIELD, CA, 93313",True,35.31309018800005,-119.06843553399995
1376712224,MOSSPARK ASSOCIATES INC,4083358744,SAN JOSE,CA,95116,"1664 ALUM ROCK AVE, SAN JOSE, CA, 95116",True,37.35169217600003,-121.85785030199997
1295904308,"PARK MEDICAL PHYSICAL THERAPY, PROF CORP",6192972544,SAN DIEGO,CA,92110,"4120 W POINT LOMA BLVD, SAN DIEGO, CA, 92110",True,32.75366408000008,-117.223778875
1083755052,"HBM CREATIVE - FS PASADENA, INC.",6263583668,MONROVIA,CA,91016,"939 W HUNTINGTON DR, MONROVIA, CA, 91016",True,34.140206860000035,-118.01971092499997
1538338033,"ALL CITIES ORTHOPEDICS, INC",3106389806,LYNWOOD,CA,90262,"11101 ATLANTIC AVE, LYNWOOD, CA, 90262",True,33.927523043000065,-118.18489170999999
1730253444,CURECARE MEDICAL EQUIP & SUP,5626975727,LA HABRA,CA,90631,"631 S PALM, LA HABRA, CA, 90631",True,33.929934385000024,-117.92434526599999
1366620015,FERNANDO J NUNEZ,5628624711,DOWNEY,CA,90241,"9102 FIRESTONE BLVD, DOWNEY, CA, 90241",False,,
1518138080,ALLAM DALATI,7074651111,CRESCENT CITY,CA,95531,"1080 MASON MALL, CRESCENT CITY, CA, 95531",False,,
1336317403,NKEM IHEANAJU,3102215310,CARSON,CA,90745,"1300 E 223RD ST, CARSON, CA, 90745",True,33.82418053600003,-118.25012188099998
1255387981,WEST COAST PROSTHETICS LLC,9166897528,SACRAMENTO,CA,95823,"95 QUINTA CT, SACRAMENTO, CA, 95823",True,38.47317239300003,-121.41908981699999
1053378802,"FREMONT ARTIFICIAL LIMB & BRACE, INC.",5107923475,FREMONT,CA,94538,"1999 MOWRY AVE, FREMONT, CA, 94538",True,37.55805724900006,-121.98078217499994
1467461343,RICK L WOODLAND,4086170066,LOS ALTOS,CA,94024,"2310 HOMESTEAD RD, LOS ALTOS, CA, 94024",True,37.33788728900004,-122.06759044499995
1720261118,RUSSELL A. GROOTEGOED DPM,3108333583,SAN PEDRO,CA,90731,"601 W 9TH ST, SAN PEDRO, CA, 90731",True,33.736039799000025,-118.29030858899995
1841211992,WEST COAST ORTHOTIC & PROSTHETIC SERVICES INC,2099424166,STOCKTON,CA,95204,"3215 N CALIFORNIA ST, STOCKTON, CA, 95204",True,37.98097165100006,-121.29327539099995
1831394808,FOOTCARE SPECIALISTS INC,6503437775,SAN MATEO,CA,94401,"39 N SAN MATEO DR, SAN MATEO, CA, 94401",True,37.56748399400004,-122.32731028699999
1306018171,NORTHBAY PROSTHETICS AND ORTHOTICS LLC,7072547010,NAPA,CA,94558,"3260 BEARD RD, NAPA, CA, 94558",True,38.322225047000074,-122.29555280199997
1184891889,"KING PROSTHETICS & ORTHOTICS, INC.",7149717221,GARDEN GROVE,CA,92840,"12849 CHAPMAN AVE, GARDEN GROVE, CA, 92840",True,33.788866496000026,-117.90972365699997
1922265628,AMERICAN FOOT COMFORT CENTER,7074458690,EUREKA,CA,95501,"1670 MYRTLE AVE, EUREKA, CA, 95501",True,40.79414760800006,-124.13583088899998
1205003563,STELLAR PROSTHETICS AND ORTHOTICS,6265840805,PASADENA,CA,91105,"753 S ARROYO PKWY, PASADENA, CA, 91105",True,34.132456698000055,-118.14731141599998
1649439969,ACTIVE BODY SUPPLIES,8187044754,TARZANA,CA,91356,"18344 CLARK ST, TARZANA, CA, 91356",True,34.169767027000034,-118.53215607899995
1609036938,"MOZENA MEDICAL RENTALS, INC",5624949606,LONG BEACH,CA,90804,"3935 E ANAHEIM ST, LONG BEACH, CA, 90804",True,33.78260443600004,-118.14648090299994
1811175128,PATRICK SOGBEIN,8183761243,VAN NUYS,CA,91401,"13615 VICTORY BLVD, VAN NUYS, CA, 91401",True,34.18667547200005,-118.42950021499996
1386687655,DIANNA L POWELL,7602565225,BARSTOW,CA,92311,"544 E WILLIAMS ST, BARSTOW, CA, 92311",True,34.89761642800005,-117.02203562699998
1487685491,SARA CUMMINGS,6196673700,LEMON GROVE,CA,91945,"7846 BROADWAY, LEMON GROVE, CA, 91945",True,32.74272383500005,-117.02954743299995
1053414052,SANDRA L VITALE,2095751063,MODESTO,CA,95350,"1005 W ORANGEBURG AVE, MODESTO, CA, 95350",True,37.663914850000026,-121.00577105699995
1346343365,SANDRA L VITALE,2096349021,TURLOCK,CA,95382,"130 REGIS ST, TURLOCK, CA, 95382",True,37.51941195400008,-120.84960706999999
1487700852,CENTER FOR INDEPENDENT REHABILITATIVE,5305349500,OROVILLE,CA,95965,"479 ORO DAM BLVD EAST, OROVILLE, CA, 95965",True,39.498077342000045,-121.57047446299998
1629101621,"BAKERSFIELD PROSTHETICS & ORTHOTICS CENTER, INC.",5597931808,PORTERVILLE,CA,93257,"49 N HOCKETT ST, PORTERVILLE, CA, 93257",True,36.06585079000007,-119.01708146899995
1205098852,"MOZENA MEDICAL SUPPLIES AND EQUIPMENT, INC",5624949606,LONG BEACH,CA,90804,"3935 E ANAHEIM ST, LONG BEACH, CA, 90804",True,33.78260443600004,-118.14648090299994
1942354584,WEST COAST PROSTHETICS,9166897528,SACRAMENTO,CA,95823,"65 QUINTA CT, SACRAMENTO, CA, 95823",True,38.47327181300005,-121.41897128199997
1558491480,YASUKO FURUHASHI,6267932476,PASADENA,CA,91106,"999 E COLORADO BL, PASADENA, CA, 91106",True,34.14592778400004,-118.13013869399998
1063698199,"BEYOND PROSTHETICS, INC.",4083566300,LOS GATOS,CA,95032,"15899 LOS GATOS ALMADEN RD, LOS GATOS, CA, 95032",True,37.24361078100003,-121.94772452699999
1902087802,ANAHEIM ORTHOTICS AND ORTHOPEDIC APPLIANCES,7146323263,ANAHEIM,CA,92806,"1177 N KRAEMER BLVD, ANAHEIM, CA, 92806",True,33.85371628200005,-117.85824137899999
