NPI,Entity Type Code,Provider Organization Name (Legal Business Name),Provider First Line Business Practice Location Address,City,State2,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number,Zip5,Address,taxonomy
1447443551,2,"ALABAMA PROSTHETICS & ORTHOTICS, INC",101 MEDICAL CENTER CT,PRATTVILLE,AL,36066,3343619984,36066,101 MEDICAL CENTER CT,335E00000X
1831369404,2,"ORTHOPRO, INC",1812 28TH AVE S,BIRMINGHAM,AL,35209,2058798861,35209,1812 28TH AVE S,335E00000X
1003802893,2,"NORTHEAST ALABAMA PROSTHETICS & ORTHOTICS, LLC",731 LEIGHTON AVE STE 200,ANNISTON,AL,36207,2562355664,36207,731 LEIGHTON AVE,335E00000X
1699761486,2,"GADSDEN LIMB & BRACE, INC.",305 S 4TH ST,GADSDEN,AL,35901,2565490064,35901,305 S 4TH ST,335E00000X
1124014915,2,"COOSA VALLEY LIMB & BRACE, LLC",315 PERCY ST,TALLADEGA,AL,35160,2563150660,35160,315 PERCY ST,335E00000X
1265639496,2,"HANGER PROSTHETICS & ORTHOTICS, INC.",410 PARKS AVE STE D,SCOTTSBORO,AL,35768,5034938288,35768,410 PARKS AVE,335E00000X
1508852815,2,"SHOALS ORTHOTICS & PROSTHETICS,INC",840 FLORENCE BLVD,FLORENCE,AL,35630,2567648673,35630,840 FLORENCE BLVD,335E00000X
1376539874,2,"ALABAMA ORTHOTICS & PROSTHETICS,INC.",2100 FRANKLIN ST SE,HUNTSVILLE,AL,35801,2565365625,35801,2100 FRANKLIN ST SE,335E00000X
1457595860,2,ORTHOPCS,100 RICE MINE ROAD LOOP STE 102,TUSCALOOSA,AL,35406,8657556777,35406,100 RICE MINE ROAD LOOP,335E00000X
1780828137,2,NORRIS LIMB AND BRACE INC.,508 PAUL W BRYANT DR E,TUSCALOOSA,AL,35401,2053495388,35401,508 PAUL W BRYANT DR E,335E00000X
1962695908,2,"BENCHMARK ORTHOTICS & PROSTHETICS, INC.",2865 ZELDA ROAD,MONTGOMERY,AL,36106,3343958118,36106,2865 ZELDA ROAD,335E00000X
1790016145,2,PROSTHETIC WIG CENTER INC.,90 N SAGE AVE,MOBILE,AL,36607,2512597233,36607,90 N SAGE AVE,335E00000X
