,Provider Organization Name (Legal Business Name),Provider First Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number
0,"TERRAPIN TECHNOLOGIES, INC",1508 CABRILLO AVE,TORRANCE,CA,90501,3102123067
1,MIKE T MARTINEZ,2222 WATT AVE,SACRAMENTO,CA,95825,9164881478
2,VETERANS ADMINISTRATION PALO ALTO HEALTH CARE SYSTEM,3801 MIRANDA AVE,PALO ALTO,CA,94304,6504935000
3,RGP ORTHOPEDIC APPLIANCE CO INC,6147 UNIVERSITY AVE,SAN DIEGO,CA,92115,6195823871
4,FEELING BEAUTIFUL AGAIN,1916 NEW JERSEY STREET,FAIRFIELD,CA,94533,7073998511
5,J&K ORTHOPEDICS INC,320 E BONITA AVENUE,POMONA,CA,91767,9096211180
6,JENNINGS ORTHOPEDIC INC,10683 MAGNOLIA AVE,RIVERSIDE,CA,92505,9513522029
7,"DAW, LLC",1745 W KETTLEMAN LN,LODI,CA,95242,2094810091
8,ALPHA ORTHOPEDIC APPLIANCE CO A CORP,5940 E WASHINGTON BLVD,COMMERCE,CA,90040,3237216706
9,SOLE INNOVATIONS,10051 LAKE AVE,TRUCKEE,CA,96161,5305877461
10,VITO'S PEDORTHIC CENTER,143 E ROWLAND ST,COVINA,CA,91723,6268589460
11,ENHANCE BY LINDA REIB INC.,4811 CHIPPENDALE DR,SACRAMENTO,CA,95841,9166382508
12,MARTHA FAIR WILLIAMS SPORTREHAB PHYSICAL THERAPY,81 CERNON STREET,VACAVILLE,CA,95688,7074479750
13,WEST COAST DME & SUPPLIES LLC,8322 CLAIREMONT MESA BLVD STE 105,SAN DIEGO,CA,92111,9094773117
14,KERN PROSTHETICS AND ORTHOTICS,9610 STOCKDALE HWY UNIT C,BAKERSFIELD,CA,93311,6617174750
15,CHRISTINE I DIMAIO,5979 COMMERCE BLVD STE 10,ROHNERT PARK,CA,94928,7073037261
16,"VALLEY ORTHOPEDIC TECHNOLOGY, INC",15243 VANOWEN STREET #208,VAN NUYS,CA,91405,8186002560
17,"DYNAMICS ORTHOTICS & PROSTHETICS, INC",2150 N WATERMAN AVE STE 301,SAN BERNARDINO,CA,92404,9098813612
18,ALEXANDER ORTHOPEDIC LAB,660 E REGENT ST,INGLEWOOD,CA,90301,3106749179
19,DAMAR MEDICAL INDUSTRIES INC,12460 BELLFLOWER BLVD,DOWNEY,CA,90242,5628036636
20,U.C. DAVIS MEDICAL CENTER,2315 STOCKTON BLVD,SACRAMENTO,CA,95817,9167347045
21,LEAHY PROSTHETICS & ORTHOTICS INC,630 FREDERICK ST,SANTA CRUZ,CA,95062,8314255900
22,LYDON'S ORTHOTIC SERVICE,1200 WESTERN STREET,FAIRFIELD,CA,94533,7074281705
23,LOS ANGELES INSTITUTE FOR PROSTHETICS AND ORTHOTICS INC,443 1/2 SO ATLANTIC BLVD,LOS ANGELES,CA,90022,3232661745
24,PRECISION ORTHOTICS & PROSTHETICS INC,7143 SEVILLE AVE,HUNTINGTON PARK,CA,90255,2133885847
25,COASTAL P&O LLC,26300 LA ALAMEDA STE 120,MISSION VIEJO,CA,92691,7146145981
26,UNIVERSITY OF CALIFORNIA SFGH MEDICAL GROUP,2550 23RD ST,SAN FRANCISCO,CA,94110,6282064387
27,VITOS PEDORTHIC CENTER INC,143 E ROWLAND ST STE 2,COVINA,CA,91723,6268589460
