NPI,Entity Type Code,Provider Organization Name (Legal Business Name),Provider First Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number,NPI Deactivation Reason Code,NPI Deactivation Date,NPI Reactivation Date,Healthcare Provider Taxonomy Code_1,Healthcare Provider Primary Taxonomy Switch_1,Healthcare Provider Taxonomy Code_2,Healthcare Provider Primary Taxonomy Switch_2,Healthcare Provider Taxonomy Code_3,Healthcare Provider Primary Taxonomy Switch_3,Healthcare Provider Taxonomy Code_4,Healthcare Provider Primary Taxonomy Switch_4,Healthcare Provider Taxonomy Code_5,Healthcare Provider Primary Taxonomy Switch_5,Healthcare Provider Taxonomy Code_6,Healthcare Provider Primary Taxonomy Switch_6,Healthcare Provider Taxonomy Code_7,Healthcare Provider Primary Taxonomy Switch_7,Healthcare Provider Taxonomy Code_8,Healthcare Provider Primary Taxonomy Switch_8,Healthcare Provider Taxonomy Code_9,Healthcare Provider Primary Taxonomy Switch_9,Healthcare Provider Taxonomy Code_10,Healthcare Provider Primary Taxonomy Switch_10,Healthcare Provider Taxonomy Code_11,Healthcare Provider Primary Taxonomy Switch_11,Healthcare Provider Taxonomy Code_12,Healthcare Provider Primary Taxonomy Switch_12,Healthcare Provider Taxonomy Code_13,Healthcare Provider Primary Taxonomy Switch_13,Healthcare Provider Taxonomy Code_14,Healthcare Provider Primary Taxonomy Switch_14,Healthcare Provider Taxonomy Code_15,Healthcare Provider Primary Taxonomy Switch_15
1548468614,2,DIMENSION PROSTHETICS & ORTHOTICS,33374 DOWE AVE,UNION CITY,CA,945872034,5103243400,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952507303,2,"SOUND BALANCE AUDIOLOGY, INC",2420 VISTA WAY,OCEANSIDE,CA,920546190,7607217417,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609934660,2,COLLIER REHABILITATION SYSTEMS,3161 PUTNAM BLVD,PLEASANT HILL,CA,945234650,9259431119,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518006741,2,"NEW DAY'S DAWN, INC.",10159 MISSION GORGE RD,SANTEE,CA,920713857,6195964042,,,,335E00000X,N,225X00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,
1902863202,2,SUPER CARE INC,16017 VALLEY BLVD,CITY OF INDUSTRY,CA,917445424,6268542283,,,,3336H0001X,N,3336C0003X,N,335E00000X,N,3336S0011X,N,333600000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,
1386652774,2,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",3460 ROBIN LN,CAMERON PARK,CA,956828457,5306764856,,,,332B00000X,N,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1124198114,2,"CHANNEL ISLANDS PROSTHETICS,INC",520 W 5TH ST,OXNARD,CA,930307025,8054865531,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710050307,2,"LIFE-CARE HOME HEALTH & MEDICAL SUPPLIES, INC",11843 WILSHIRE BLVD,WEST LOS ANGELES,CA,900256601,3104790094,,,,332BX2000X,N,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,
1639237233,2,HANGER PROSTHETICS & ORTHOTICS WEST INC,7056 A SKYWAY,PARADISE,CA,95969,5308771805,,,,332B00000X,N,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1477742369,2,BOUTIQUE DE LINGERIE,650 SAN BENITO ST STE 150,HOLLISTER,CA,950233968,8316350722,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
